,preprocessed,category
9,шоколадное яйцо грамм киндер сюрприз ферре,дети
4990,соус кавказс особо острый mivimex п б грамм,бакалея
6343,сыр моццарелла пикколо мягкий штука,гастрономия
9253,агуша ряженка клубн процент грамм,молочка
5705,милка пирожное milka soft choc грамм бум кор мон,чай_и_сладкое
9567,батон каравай наше солнышко нарезка грамм,хлеб
5134,duracell basic батарейки алк ааа ш,для_дома
12060,зелень лук в упаковке грамм,овощи_и_фрукты
7335,творог danone растиш кл бан плом процент,молочка
5760,nesc кофе gold раст ст б грамм,чай_и_сладкое
6808,суп пюре грибной грамм,бакалея
5324,всего,не_определена
9276,фр няня пюре яблочный груш перс грамм,дети
2211,игруша конструктор мяг блочный eva,дети
11949,хлебцы вкус мая гречневые грамм,хлеб
10609,хурма свежий цена за кг,овощи_и_фрукты
11335,напиток сыв актуаль черн смор вит мин,молочка
10111,ряба майон прованс процент дпд грамм,бакалея
524,мармел дней желейный со вк дыни грамм,чай_и_сладкое
10838,usb kабельlp,компьютер
3318,лимон,овощи_и_фрукты
502,гранаты вес кг,овощи_и_фрукты
10804,д п вода фруто няня артезианская литр,напитки
7405,пиво бпз вобла нефильтрованн,алкоголь
2646,econ стакан бум мл штука,для_дома
3158,д п каша сами с усами рисовая жидк грамм,дети
5201,пакет гулливер малый,упаковка
1631,тефтели в томатном соусе грамм главпроду,гастрономия
2023,марkер перм штука,для_дома
801,картофель по деревен,кафе
7875,пиво св туборг грин tuborg green процент литр ст,алкоголь
12757,лук репчатый кг,овощи_и_фрукты
10357,помид томат неоч в том сок мл,овощи_и_фрукты
560,йогуртdanone данис хрус шар карам процент,молочка
1573,палочки ватные русалочка visage ш,для_дома
10226,подгуз трусики дней junior кг ш,дети
7612,корм д кош kitekat индейка в соусе грамм,животные
578,пакет магнит белый пластиктре,упаковка
11283,палочки ватные дней банка штука,для_дома
4682,угол artens универс ясень х х мм pp,для_дома
2330,пр молочный молочный пастеризованный процент литр,молочка
2016,руч гел g tank мм,для_дома
10430,слоб майон оливк процент мл,бакалея
1000,лук репчатый кг,овощи_и_фрукты
10353,vern конд св лет утра конц мл,для_дома
825,грибы шампиньоны грамм,овощи_и_фрукты
7663,kitekat kорм д кош с индейкой в соусе грамм пауч мар,животные
7047,томаты черри kг,овощи_и_фрукты
10072,компот фруто няня из яблок черно,дети
6049,ролл пюре карт с сухой б пр грамм,бакалея
2671,кальмар с крабом грамм,гастрономия
12101,печенье фц сдобное лимонное с цукатами на твороге грамм пл упаковка,чай_и_сладкое
11477,пакет с логотипом,упаковка
7777,йогурт danone данис фант шар шоколадный процент,молочка
1121,перец болгарский свежий желтый це,овощи_и_фрукты
6619,кулебяка с куриный грамм,кулинария
12164,тимоша рахат лукум ароматный грамм фл азовский,чай_и_сладкое
7886,пицца сыра грамм,кулинария
12599,пакет пятерочка х см,упаковка
4334,apc a one size шапочка силиконовая,одежда_и_обувь
6476,гранат kрупный цена за кг,овощи_и_фрукты
9169,десерт первым делом с клуб нап,чай_и_сладкое
469,ряженка авида процент грамм,молочка
13272,пиво holsten premium св пастеризованный процент l,алкоголь
7806,перец красный вес кг,овощи_и_фрукты
2314,felix корм д кош конс лосось грамм,животные
9517,сд изд полезное с мак и кунж,чай_и_сладкое
2454,lipton чай черный клубника мята пир грамм юнилевер,чай_и_сладкое
12573,ризотто с овощами и грибами пиkанта грамм,кулинария
7936,пакет пятерочка х см,упаковка
83,мак изд макфа вермише,бакалея
3808,водка старлей,алкоголь
3639,томаты черри красные тепличные грамм,овощи_и_фрукты
3356,dir жевательный рез c xxl асс мят вк грамм,здоровье
6284,сырный крем суп,кафе
9543,podr приправа vegeta грамм,бакалея
9955,творожный сырок глазированный с кокосом в шокола,молочка
9308,перец желтый вес,овощи_и_фрукты
